ticker,name,aliases
ORCL,ORACLE CORP,ORACLE|ORACLE CORP|ORCL|Oracle|Oracle Corp
MSFT,MICROSOFT CORP,MICROSOFT|MICROSOFT CORP|MSFT|Microsoft|Microsoft Corp
TROW,T ROWE PRICE GROUP INC,T ROWE PRICE GROUP|T ROWE PRICE GROUP INC|T Rowe Price Group|T Rowe Price Group Inc|TROW
HON,HONEYWELL INTERNATIONAL INC,HON|HONEYWELL INTERNATIONAL|HONEYWELL INTERNATIONAL INC|Honeywell International|Honeywell International Inc
ADM,ARCHER DANIELS MIDLAND CO,ADM|ARCHER DANIELS MIDLAND|ARCHER DANIELS MIDLAND CO|Archer Daniels Midland|Archer Daniels Midland Co
FISV,FISERV INC,FISERV|FISERV INC|FISV|Fiserv|Fiserv Inc
KO,COCA COLA CO,COCA COLA CO|COCALA|Coca Cola Co|Cocala|KO
CDNS,CADENCE DESIGN SYSTEMS INC,CADENCE DESIGN SYSTEMS|CADENCE DESIGN SYSTEMS INC|CDNS|Cadence Design Systems|Cadence Design Systems Inc
ED,CONSOLIDATED EDISON INC,CONSOLIDATED EDISON|CONSOLIDATED EDISON INC|Consolidated Edison|Consolidated Edison Inc|ED
XRAY,DENTSPLY SIRONA INC,DENTSPLY SIRONA|DENTSPLY SIRONA INC|Dentsply Sirona|Dentsply Sirona Inc|XRAY
FAST,FASTENAL CO,FAST|FASTENAL|FASTENAL CO|Fastenal|Fastenal Co
DTE,D T E ENERGY CO,D T E ENERGY|D T E ENERGY CO|D T E Energy|D T E Energy Co|DTE
ETN,EATON CORP PLC,EATON CORP PLC|ETN|Eaton Corp Plc
SIVB,S V B FINANCIAL GROUP,S V B FINANCIAL GROUP|S V B Financial Group|SIVB
XOM,EXXON MOBIL CORP,EXXON MOBIL|EXXON MOBIL CORP|Exxon Mobil|Exxon Mobil Corp|XOM
MGM,M G M RESORTS INTERNATIONAL,M G M RESORTS INTERNATIONAL|M G M Resorts International|MGM
WM,WASTE MANAGEMENT INC DEL,WASTE MANAGEMENT INC DEL|WM|Waste Management Inc Del
GD,GENERAL DYNAMICS CORP,GD|GENERAL DYNAMICS|GENERAL DYNAMICS CORP|General Dynamics|General Dynamics Corp
GE,GENERAL ELECTRIC CO,GE|GENERAL ELECTRIC|GENERAL ELECTRIC CO|General Electric|General Electric Co
LH,LABORATORY CORP AMERICA HLDGS,LABORATORY CORP AMERICA HLDGS|LH|Laboratory Corp America Hldgs
NXPI,N X P SEMICONDUCTORS N V,N X P SEMICONDUCTORS N V|N X P Semiconductors N V|NXPI
CHTR,CHARTER COMMUNICATIONS INC NEW,CHARTER COMMUNICATIONS INC NEW|CHTR|Charter Communications Inc New
LYB,LYONDELLBASELL INDUSTRIES N V,LYB|LYONDELLBASELL INDUSTRIES N V|Lyondellbasell Industries N V
GM,GENERAL MOTORS CO,GENERAL MOTORS|GENERAL MOTORS CO|GM|General Motors|General Motors Co
TT,TRANE TECHNOLOGIES PLC,TRANE TECHNOLOGIES PLC|TT|Trane Technologies Plc
FRC,FIRST REPUBLIC BANK S F NEW,FIRST REPUBLIC BANK S F NEW|FRC|First Republic Bank S F New
FLT,FLEETCOR TECHNOLOGIES INC,FLEETCOR TECHNOLOGIES|FLEETCOR TECHNOLOGIES INC|FLT|Fleetcor Technologies|Fleetcor Technologies Inc
TRGP,TARGA RESOURCES CORP,TARGA RESOURCES|TARGA RESOURCES CORP|TRGP|Targa Resources|Targa Resources Corp
IBM,INTERNATIONAL BUSINESS MACHS COR,IBM|INTERNATIONAL BUSINESS MACHS COR|International Business Machs Cor
KMI,KINDER MORGAN INC,KINDER MORGAN|KINDER MORGAN INC|KMI|Kinder Morgan|Kinder Morgan Inc
HCA,H C A HEALTHCARE INC,H C A HEALTHCARE|H C A HEALTHCARE INC|H C A Healthcare|H C A Healthcare Inc|HCA
HII,HUNTINGTON INGALLS INDS INC,HII|HUNTINGTON INGALLS INDS|HUNTINGTON INGALLS INDS INC|Huntington Ingalls Inds|Huntington Ingalls Inds Inc
MPC,MARATHON PETROLEUM CORP,MARATHON PETROLEUM|MARATHON PETROLEUM CORP|MPC|Marathon Petroleum|Marathon Petroleum Corp
XYL,XYLEM INC,XYL|XYLEM|XYLEM INC|Xylem|Xylem Inc
APTV,APTIV PLC,APTIV PLC|APTV|Aptiv Plc
EPAM,EPAM SYSTEMS INC,EPAM|EPAM SYSTEMS|EPAM SYSTEMS INC|Epam Systems|Epam Systems Inc
ENPH,ENPHASE ENERGY INC,ENPH|ENPHASE ENERGY|ENPHASE ENERGY INC|Enphase Energy|Enphase Energy Inc
PSX,PHILLIPS 66,PHILLIPS 66|PSX|Phillips 66
META,META PLATFORMS INC,META|META PLATFORMS|META PLATFORMS INC|Meta Platforms|Meta Platforms Inc
NOW,SERVICENOW INC,NOW|SERVICENOW|SERVICENOW INC|Servicenow|Servicenow Inc
PNR,PENTAIR PLC,PENTAIR PLC|PNR|Pentair Plc
